timestamp,TP9,AF7,AF8,TP10,noise
1656996942.0224333,218.09226591605693,262.6082950886339,-62.10851856414229,-4.465440547093749,0.0
1656996942.0224333,239.50319316238165,480.1994144106284,-50.499869101680815,-4.932928041554987,0.0
1656996942.0224636,5.190981138497591,-0.8489572899416089,1.854990378022194,-3.463147358968854,0.0
1656996942.0224636,-10.07155058067292,-249.88889533933252,-24.11113501433283,-4.330804148688912,0.0
1656996942.0224855,220.8485721834004,-692.6089023440145,-58.46959590725601,-2.501993070356548,0.0
1656996942.0224855,238.02593267988414,-498.86338513949886,-50.937437396496534,-2.128003074787557,0.0
1656996942.0225067,-7.079630616120994,-14.335036530159414,5.931481329724193,-3.4818468587473035,0.0
1656996942.0225067,-15.31863021850586,-253.65871449466795,-21.253851448185742,-2.737606767565012,0.0
1656996942.025122,226.3312655184418,-714.9922035788186,-58.563093406148255,-4.2859253492206335,0.0
1656996942.025122,243.8975756103173,-498.4744355441071,-53.55536736547947,-3.7585994554683566,0.0
1656996942.0407689,-4.091450551524758,-981.7929265177809,8.88974219467491,-2.569311269558966,0.0
1656996942.0407689,-15.228872619569302,-1240.9717333470471,-16.706133102066815,-7.206787214614451,0.0
1656996942.0415633,226.08069222141057,-1674.730940057896,-59.26619459781796,-4.461700647138059,0.0
1656996942.0415633,243.31789111718535,-1470.1883316813037,-54.6922969520092,-4.233566749840975,0.0
1656996942.0550723,-11.481492863968015,-985.8768972693942,5.927741429768503,-3.6725817564874887,0.0
1656996942.0550723,-20.86864175274968,-1245.4147344944067,-19.76537126582116,-1.8699499778449535,0.0
1656996942.070789,228.2984528951347,-1682.8053840622306,-59.92815688997507,-3.0330588640645146,0.0
1656996942.070789,247.59259676653892,-1483.8875852189958,-52.164124581962824,-4.951627541333437,0.0
1656996942.0715823,-5.336837236769497,-1948.626253212802,6.585963821969926,-3.8333974545821548,0.0
1656996942.0715823,-23.471612121909857,-2220.0794116966426,-22.738591730594635,-4.199907650239766,0.0
1656996942.0850544,223.8853709474206,-2686.035417126026,-63.368864849209785,-6.260592525824904,0.0
1656996942.0850544,247.1550284717232,-2457.9725779281,-55.41783754341304,-5.310657937079668,0.0
1656996942.1008077,-2.0232858760282397,-2936.728390955832,8.149242003448308,-4.760892643593252,0.0
1656996942.1008077,-21.452066145837307,-3207.725281645078,-19.76911116577685,-1.5370988817885518,0.0
1656996942.101574,221.2524813786149,-3648.03305317834,-59.43075019586831,-1.290265484713018,0.0
1656996942.101574,245.78996498789638,-3429.2040269710124,-56.02370133623481,-4.158768750727177,0.0
1656996942.1150315,-7.797691407613456,-2941.347167401109,5.64350903313607,-4.297145049087703,0.0
1656996942.1150315,-20.027164262719452,-3191.901764932554,-21.115475149825215,-4.910488641820848,0.0
1656996942.130766,224.71188883762807,-3650.329351751134,-55.83670633845031,-5.744486331939697,0.0
1656996942.130766,248.01894536148757,-3434.6530612064525,-59.21009609848261,-4.772112343460321,0.0
1656996942.1315608,-1.8736898778006434,-3906.4975391160697,9.877075782977045,-6.03245862852782,0.0
1656996942.1315608,-17.3045170949772,-4175.246749931946,-19.27170447167009,-6.750519420020282,0.0
